model,tpr_no,tpr_yes,fpr_no,fpr_yes,prec_no,prec_yes,f1_no,f1_yes,roc_auc,mcc,kappa,wt_f1,status,tn,fp,fn,tp,avg_tpr
B4_RUS123 + C5_GradientBoosting,0.8169014084507042,0.727433628318584,0.27256637168141595,0.18309859154929578,0.9073405535499398,0.5487316421895861,0.8597491448118586,0.6255707762557077,0.8478494520561078,0.49825302351046996,0.48907258696704636,0.8048711778959625,MEETS MINIMUM,1508,338,154,411,0.7721675183846441
B4_RUS123 + C8_XGBoost,0.8374864572047671,0.6938053097345133,0.30619469026548674,0.16251354279523295,0.8993600930773705,0.5664739884393064,0.8673211781206172,0.6237072394590295,0.8497598251181698,0.49748749961132893,0.4928537662535182,0.8102320552073874,BELOW MINIMUM,1546,300,173,392,0.7656458834696402
B4_RUS123 + C6_SVM,0.8087757313109426,0.720353982300885,0.27964601769911507,0.19122426868905743,0.9043004239854634,0.5355263157894737,0.8538747497855305,0.6143396226415095,0.8384740026270626,0.48241620708257327,0.4725429461313697,0.7977414661536881,MEETS MINIMUM,1493,353,158,407,0.7645648568059138
B1_RUS + C1_LogisticRegression,0.8277356446370531,0.7008849557522124,0.2991150442477876,0.1722643553629469,0.9004124926340601,0.5546218487394958,0.8625458650860852,0.619233776387803,0.8387635547800075,0.4904493110756943,0.48430616171735585,0.8055274784769896,BELOW MINIMUM,1528,318,169,396,0.7643103001946328
B4_RUS123 + C1_LogisticRegression,0.7914409534127844,0.736283185840708,0.26371681415929205,0.2085590465872156,0.9074534161490683,0.519350811485643,0.845486111111111,0.6090775988286969,0.841243923719307,0.474589184093232,0.4609236041093734,0.7900855265239837,MEETS MINIMUM,1461,385,149,416,0.7638620696267462
B1_RUS + C5_GradientBoosting,0.7827735644637053,0.736283185840708,0.26371681415929205,0.2172264355362947,0.9065244667503137,0.5091799265605875,0.8401162790697675,0.6020260492040522,0.8414970421576429,0.46451498520416334,0.44949584688092614,0.7843215964177024,MEETS MINIMUM,1445,401,149,416,0.7595283751522066
B1_RUS + C6_SVM,0.8244853737811484,0.6867256637168142,0.31327433628318585,0.17551462621885158,0.8958210712183637,0.5449438202247191,0.8586741889985895,0.6076742364917777,0.8342323512210089,0.4746829230626432,0.4688836545255721,0.7998542084235797,BELOW MINIMUM,1522,324,177,388,0.7556055187489813
B1_RUS + C8_XGBoost,0.7838569880823402,0.7221238938053097,0.2778761061946903,0.2161430119176598,0.9021197007481296,0.5055762081784386,0.838840579710145,0.5947521865889213,0.8418642556496229,0.45418755546651873,0.4405149955216692,0.7816402719069548,MEETS MINIMUM,1447,399,157,408,0.752990440943825
B4_RUS123 + C4_RandomForest,0.7600216684723727,0.720353982300885,0.27964601769911507,0.2399783315276273,0.8987828315182576,0.4788235294117647,0.8235984737305548,0.5752650176678444,0.8336110605087297,0.4259024552264063,0.4088239193983023,0.765403366855635,MEETS MINIMUM,1403,443,158,407,0.7401878253866289
B4_RUS123 + C9_MLP,0.7659804983748646,0.7132743362831858,0.2867256637168142,0.23401950162513543,0.8972081218274112,0.48263473053892214,0.8264172998246639,0.5757142857142857,0.8060221095120759,0.42666324356202673,0.41109278944013816,0.767666904564455,MEETS MINIMUM,1414,432,162,403,0.7396274173290251
B4_RUS123 + C3_DecisionTree,0.7497291440953413,0.7238938053097345,0.2761061946902655,0.2502708559046587,0.8987012987012987,0.4695752009184845,0.8174837566450087,0.5696378830083565,0.8014084507042254,0.41764123592684066,0.3987011928331543,0.7594029111017866,MEETS MINIMUM,1384,462,156,409,0.7368114747025378
B1_RUS + C4_RandomForest,0.7551462621885157,0.7132743362831858,0.2867256637168142,0.24485373781148428,0.8958868894601543,0.47134502923976607,0.8195179306290417,0.5676056338028168,0.827613879327702,0.4147517271034901,0.3976105506883095,0.7604841489173797,MEETS MINIMUM,1394,452,162,403,0.7342102992358508
B1_RUS + C3_DecisionTree,0.7258938244853738,0.7380530973451327,0.26194690265486725,0.27410617551462624,0.9005376344086021,0.4517876489707476,0.8038392321535692,0.560483870967742,0.7724829576506006,0.4043021527359336,0.38033182712418323,0.7468107049573882,MEETS MINIMUM,1340,506,148,417,0.7319734609152533
B1_RUS + C9_MLP,0.7876489707475623,0.6601769911504425,0.3398230088495575,0.2123510292524377,0.8833535844471446,0.4875816993464052,0.8327605956471936,0.5609022556390978,0.7993566573025629,0.40757140511419077,0.398840396553638,0.769052606387727,BELOW MINIMUM,1454,392,192,373,0.7239129809490024
B3_SMOTE75 + C8_XGBoost,0.9637053087757314,0.4584070796460177,0.5415929203539823,0.03629469122426869,0.8532374100719424,0.7944785276073619,0.9051132027473925,0.5813692480359147,0.8350885435143195,0.5228851895709459,0.4947227839204055,0.8292462038208123,BELOW MINIMUM,1779,67,306,259,0.7110561942108745
B3_SMOTE75 + C5_GradientBoosting,0.9647887323943662,0.45663716814159294,0.5433628318584071,0.035211267605633804,0.8529693486590039,0.7987616099071208,0.9054397559735637,0.5810810810810811,0.8410013518825684,0.524076622375863,0.4949869874514211,0.829428701923687,BELOW MINIMUM,1781,65,307,258,0.7107129502679796
B3_SMOTE75 + C1_LogisticRegression,0.9561213434452871,0.46194690265486726,0.5380530973451327,0.043878656554712896,0.8530691155147414,0.7631578947368421,0.9016602809706258,0.5755237045203969,0.8274039060777187,0.5075676756605185,0.48440469095164906,0.8252325888535046,BELOW MINIMUM,1765,81,304,261,0.7090341230500772
B3_SMOTE75 + C3_DecisionTree,0.8775731310942578,0.536283185840708,0.46371681415929206,0.12242686890574214,0.8607863974495218,0.5727788279773157,0.869098712446352,0.5539305301645339,0.7229968647829796,0.4235961606840047,0.4232125278940164,0.7952413822973569,BELOW MINIMUM,1620,226,262,303,0.7069281584674829
B3_SMOTE75 + C6_SVM,0.991332611050921,0.3805309734513274,0.6194690265486725,0.00866738894907909,0.8394495412844036,0.9307359307359307,0.9090909090909091,0.5402010050251256,0.8055925751924754,0.535167198506259,0.4678172828844128,0.8226442911742073,BELOW MINIMUM,1830,16,350,215,0.6859317922511242
B2_NearMiss + C6_SVM,0.5698808234019501,0.7663716814159292,0.2336283185840708,0.4301191765980498,0.8885135135135135,0.35289323553382235,0.6943894389438944,0.48325892857142855,0.7473599938637954,0.28490985249216616,0.2390645950479925,0.6449125669569831,BELOW MINIMUM,1052,794,132,433,0.6681262524089396
B3_SMOTE75 + C4_RandomForest,0.9745395449620802,0.36106194690265486,0.6389380530973451,0.025460455037919827,0.8328703703703704,0.8127490039840638,0.8981527708437345,0.5,0.8474434078946107,0.46547913509643474,0.4157741131975963,0.8048486167472144,BELOW MINIMUM,1799,47,361,204,0.6678007459323675
B4_RUS123 + C2_KNN,0.7654387865655471,0.5610619469026549,0.4389380530973451,0.23456121343445288,0.8506923540036123,0.4226666666666667,0.8058169375534645,0.48212927756654,0.7157633342601559,0.29875059957930705,0.2931916752942898,0.7299631308788015,BELOW MINIMUM,1413,433,248,317,0.663250366734101
B2_NearMiss + C5_GradientBoosting,0.5682556879739978,0.7451327433628319,0.25486725663716814,0.43174431202600216,0.8792958927074602,0.34564860426929395,0.690358670615334,0.47223780145821653,0.7508576304662556,0.26550895097039046,0.22368795195028324,0.639243659800829,BELOW MINIMUM,1049,797,144,421,0.6566942156684148
B2_NearMiss + C1_LogisticRegression,0.5222101841820151,0.7893805309734513,0.21061946902654868,0.47778981581798485,0.8901200369344414,0.3358433734939759,0.6582451348583134,0.47120972002113043,0.742505680783133,0.265345248034252,0.21217457954163743,0.6144147701204419,BELOW MINIMUM,964,882,119,446,0.6557953575777332
B2_NearMiss + C4_RandomForest,0.537919826652221,0.7734513274336283,0.22654867256637168,0.46208017334777896,0.8858162355040142,0.3387596899224806,0.6693629929221436,0.4711590296495958,0.7320616688558855,0.2644361266543309,0.21544860939959298,0.6229153615455407,BELOW MINIMUM,993,853,128,437,0.6556855770429246
B2_NearMiss + C7_NaiveBayes,0.7388949079089924,0.5716814159292035,0.4283185840707965,0.2611050920910076,0.8493150684931506,0.4012422360248447,0.7902665121668596,0.4715328467153284,0.6722504530244777,0.2789572844505166,0.2706821201460672,0.7155736374343358,BELOW MINIMUM,1364,482,242,323,0.655288161919098
B1_RUS + C2_KNN,0.8076923076923077,0.49557522123893805,0.504424778761062,0.19230769230769232,0.839527027027027,0.4409448818897638,0.823302043070127,0.4666666666666667,0.7248794331681033,0.2916470859649117,0.29076827614735823,0.7397271829838744,BELOW MINIMUM,1491,355,285,280,0.6516337644656229
B2_NearMiss + C8_XGBoost,0.5455037919826652,0.7486725663716814,0.2513274336283186,0.45449620801733476,0.876414273281114,0.33518225039619653,0.6724540901502505,0.4630541871921183,0.7558471318037564,0.2494928752005365,0.20600187254287494,0.6233827731982203,BELOW MINIMUM,1007,839,142,423,0.6470881791771733
B2_NearMiss + C3_DecisionTree,0.5498374864572048,0.736283185840708,0.26371681415929205,0.45016251354279524,0.8719931271477663,0.33360064153969526,0.6744186046511628,0.45916114790286977,0.6456025465248947,0.24253788841564128,0.20166156353750575,0.6239746133352003,BELOW MINIMUM,1015,831,149,416,0.6430603361489564
B3_SMOTE75 + C9_MLP,0.980498374864572,0.2778761061946903,0.7221238938053097,0.01950162513542795,0.8160504959422904,0.8134715025906736,0.890748031496063,0.4142480211081795,0.8055666880794639,0.40330189645765896,0.3348750627544351,0.7790837818614076,BELOW MINIMUM,1810,36,408,157,0.6291872405296312
B2_NearMiss + C9_MLP,0.5027085590465872,0.7415929203539823,0.2584070796460177,0.49729144095341277,0.8640595903165735,0.31338818249813016,0.6356164383561643,0.4405888538380653,0.6769125303214797,0.20820843742501954,0.1657309217304429,0.5899131678241336,BELOW MINIMUM,928,918,146,419,0.6221507397002848
B3_SMOTE75 + C2_KNN,0.7556879739978332,0.45486725663716815,0.5451327433628319,0.24431202600216684,0.819142689371697,0.3629943502824859,0.7861369399830939,0.40377062058130403,0.6567349639018591,0.1958313212730866,0.19355771268965682,0.6965322239059427,BELOW MINIMUM,1395,451,308,257,0.6052776153175007
B4_RUS123 + C7_NaiveBayes,0.3131094257854821,0.8849557522123894,0.11504424778761062,0.6868905742145178,0.8989113530326595,0.2828054298642534,0.46444355162715945,0.42863266180882986,0.6960833756795368,0.18971496237692376,0.1139116018839692,0.45605153472655546,BELOW MINIMUM,578,1268,65,500,0.5990325889989357
B2_NearMiss + C2_KNN,0.819068255687974,0.3415929203539823,0.6584070796460177,0.180931744312026,0.802547770700637,0.36622390891840606,0.8107238605898123,0.3534798534798535,0.6318713506361519,0.16466650093498592,0.1644999121387012,0.7035721127602284,BELOW MINIMUM,1512,334,372,193,0.5803305880209781
B1_RUS + C7_NaiveBayes,0.15059588299024917,0.9256637168141593,0.0743362831858407,0.8494041170097508,0.86875,0.2501195600191296,0.25669436749769153,0.3938253012048193,0.643361393685462,0.09521000512543279,0.03936758838503196,0.2888299865539036,BELOW MINIMUM,278,1568,42,523,0.5381297999022042
B3_SMOTE75 + C7_NaiveBayes,0.14517876489707476,0.911504424778761,0.08849557522123894,0.8548212351029253,0.8427672955974843,0.2460582895365504,0.2476894639556377,0.3875094055680964,0.5303679805175505,0.07095715249514731,0.029243092605435006,0.28045523210621387,BELOW MINIMUM,268,1578,50,515,0.5283415948379179
